Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac
Black Mountain,New Hampshire,New Hampshire,2350,1100,1250,0,0,0,0,0,1,1,3,5,45,0,1.6,143.0,120.0,110,84,125.0,45.0,59.0,107,0.0
Bretton Woods,New Hampshire,New Hampshire,3100,1500,1600,0,0,0,4,1,1,0,3,9,63,2,2.0,464.0,427.0,180,46,200.0,85.0,99.0,180,45.0
Cannon Mountain,New Hampshire,New Hampshire,4080,2180,1900,1,0,0,1,2,3,1,3,11,97,3,2.3,285.0,192.0,124,81,160.0,79.0,79.0,143,0.0
Cranmore Mountain Resort,New Hampshire,New Hampshire,2000,1200,600,0,0,0,1,1,2,1,2,7,57,4,1.0,200.0,192.0,107,82,150.0,57.91695652173913,64.1668100358423,128,0.0
Crotched Mountain,New Hampshire,New Hampshire,2066,1016,1050,0,0,0,1,1,1,1,1,5,25,3,1.2,100.0,100.0,105,16,105.0,55.0,69.0,100,100.0
Dartmouth Skiway,New Hampshire,New Hampshire,1943,969,974,0,0,0,0,1,0,1,2,4,28,1,1.1,107.0,54.0,104,63,100.0,50.0,50.0,105,0.0
Gunstock,New Hampshire,New Hampshire,2300,1400,900,0,0,0,1,2,2,0,1,6,55,4,1.5,227.0,176.0,106,82,120.0,80.0,92.0,120,60.0
King Pine,New Hampshire,New Hampshire,850,350,500,0,0,0,0,0,3,0,3,6,17,2,0.3,48.0,45.0,105,57,120.0,42.0,58.0,107,23.0
Loon Mountain,New Hampshire,New Hampshire,3050,2100,950,1,0,0,3,1,1,3,2,11,61,6,2.5,370.0,322.0,149,53,160.0,57.91695652173913,64.1668100358423,144,0.0
Mount Sunapee,New Hampshire,New Hampshire,2743,1510,1233,0,0,0,2,1,2,1,4,10,66,4,0.8,232.0,215.0,130,71,100.0,83.0,93.0,136,0.0
Pats Peak,New Hampshire,New Hampshire,1460,770,690,0,0,0,0,0,4,2,5,11,28,3,1.5,115.0,115.0,109,56,100.0,58.0,72.0,112,93.0
Ragged Mountain Resort,New Hampshire,New Hampshire,2250,1250,1000,0,0,1,1,0,1,0,3,6,57,3,0.7,250.0,200.0,115,54,100.0,74.0,84.0,140,0.0
Waterville Valley,New Hampshire,New Hampshire,4004,2020,1984,0,0,0,2,0,2,3,4,11,62,4,1.9,265.0,220.0,142,54,148.0,79.0,93.0,142,0.0
Whaleback Mountain,New Hampshire,New Hampshire,1800,700,1100,0,0,0,0,0,0,1,3,4,30,1,1.0,85.0,60.0,105,64,110.0,30.0,45.0,105,55.0
Wildcat Mountain,New Hampshire,New Hampshire,4062,2112,1950,0,0,0,1,0,3,0,1,5,48,0,2.8,225.0,200.0,156,61,200.0,79.0,89.0,150,0.0
Campgaw Mountain,New Jersey,New Jersey,726,274,450,0,0,0,0,0,0,2,3,5,12,1,0.3,23.0,23.0,80,58,45.0,57.91695652173913,64.1668100358423,120,14.0
Mountain Creek Resort,New Jersey,New Jersey,1480,1040,440,1,0,0,2,2,1,1,3,10,46,3,2.0,167.0,167.0,90,54,65.0,79.99,79.99,100,167.0
Angel Fire Resort,New Mexico,New Mexico,10677,2077,8600,0,0,0,2,0,0,3,2,7,81,3,3.0,560.0,230.0,101,53,210.0,77.0,77.0,101,50.0
Enchanted Forest Ski Area,New Mexico,New Mexico,10078,400,9820,0,0,0,0,0,0,0,0,0,33,0,2.5,600.0,0.0,130,34,240.0,20.0,20.0,140,0.0
Pajarito Mountain Ski Area,New Mexico,New Mexico,10441,1410,9031,0,0,0,0,1,1,3,1,6,45,2,0.6,750.0,35.0,89,62,163.0,49.0,49.0,117,0.0
Red River,New Mexico,New Mexico,10350,1600,8750,0,0,0,0,1,3,1,2,7,63,3,2.5,209.0,0.0,110,60,214.0,79.0,79.0,120,0.0
Sandia Peak,New Mexico,New Mexico,10378,1700,8678,0,0,0,0,0,0,4,1,5,39,1,2.0,200.0,30.0,32,82,100.0,55.0,55.0,38,0.0
Sipapu Ski Resort,New Mexico,New Mexico,9255,1055,8200,0,0,0,0,1,2,0,3,6,42,4,0.5,200.0,140.0,127,67,190.0,47.0,47.0,143,0.0
Ski Apache,New Mexico,New Mexico,11500,1900,9600,1,0,0,0,2,6,0,2,11,55,3,2.0,750.0,270.0,133,58,185.0,74.0,74.0,124,0.0
Ski Santa Fe,New Mexico,New Mexico,12075,1725,10350,0,0,0,0,1,2,2,2,7,83,1,3.0,660.0,275.0,107,73,225.0,80.0,80.0,130,0.0
Taos Ski Valley,New Mexico,New Mexico,12481,3281,9200,1,0,0,1,3,4,1,4,14,111,1,5.0,1294.0,647.0,137,64,300.0,110.0,110.0,136,0.0
Belleayre,New York,New York,3429,1404,2025,1,0,0,1,1,1,2,2,8,50,2,2.2,175.0,168.0,154,70,130.0,60.0,72.0,150,0.0
Brantling Ski Slopes,New York,New York,850,250,600,0,0,0,0,0,0,0,5,5,10,0,0.1,20.0,16.0,115,19,110.0,32.0,32.0,120,0.0
Bristol Mountain,New York,New York,2200,1200,1000,0,0,0,2,1,1,1,1,6,34,3,2.0,160.0,148.0,129,55,60.0,65.0,76.0,129,154.0
Buffalo Ski Club Ski Area,New York,New York,3429,500,2025,0,0,0,0,0,0,2,4,6,43,1,1.433230769230769,225.0,150.0,115,12,185.31645569620252,35.0,50.0,120,100.0
Catamount,New York,New York,2000,1000,1000,0,0,0,0,1,1,2,3,7,36,5,2.0,133.0,130.0,100,80,108.0,38.0,69.0,90,55.0
Dry Hill Ski Area,New York,New York,950,300,650,0,0,0,0,0,0,1,2,3,7,1,0.2,35.0,26.0,115,55,125.0,57.91695652173913,35.0,120,26.0
Gore Mountain,New York,New York,3600,2537,998,1,0,0,2,2,3,2,4,14,110,7,4.5,439.0,338.0,142,55,150.0,80.0,88.0,120,15.0
Greek Peak,New York,New York,2100,952,1148,0,0,0,0,1,1,4,2,8,56,4,1.5,220.0,184.0,110,62,122.0,49.0,63.2,113,175.0
Holiday Mountain,New York,New York,1550,400,1150,0,0,0,0,1,0,1,2,4,9,0,0.4,37.0,37.0,75,60,50.0,27.0,42.0,85,37.0
Holiday Valley,New York,New York,2250,750,1500,0,0,0,3,8,0,0,2,13,60,5,1.0,290.0,266.0,116,62,180.0,65.0,78.0,129,189.0
Holimont Ski Area,New York,New York,2260,700,1560,0,0,0,1,1,2,3,1,8,53,3,1.5,135.0,135.0,110,57,180.0,62.0,75.0,119,0.0
Hunt Hollow Ski Club,New York,New York,2030,825,1000,0,0,0,0,0,1,1,1,3,19,1,1.0,400.0,400.0,115,52,130.0,48.0,58.0,75,400.0
Hunter Mountain,New York,New York,3200,1600,1600,0,0,2,1,2,2,2,4,13,67,4,2.0,320.0,320.0,148,59,120.0,79.0,89.0,155,0.0
Kissing Bridge,New York,New York,1700,550,1150,0,0,0,0,2,1,4,3,10,39,5,0.5,700.0,550.0,103,59,120.0,40.0,60.0,100,650.0
Labrador Mt.,New York,New York,1825,700,1125,0,0,0,0,0,1,2,1,4,23,1,1.0,250.0,237.0,115,62,125.0,59.0,59.0,100,180.0
Maple Ski Ridge,New York,New York,1200,450,750,0,0,0,0,0,1,1,1,3,10,0,0.3,25.0,25.0,115,57,185.31645569620252,26.0,38.0,120,20.0
McCauley Mountain Ski Center,New York,New York,2250,633,1563,0,0,0,0,0,0,1,4,5,23,1,0.3,70.0,55.0,105,61,200.0,20.0,30.0,105,0.0
Mount Peter Ski Area,New York,New York,1250,450,750,0,0,0,0,1,0,2,2,5,14,1,1.0,69.0,69.0,100,83,50.0,35.0,54.0,100,69.0
Oak Mountain,New York,New York,2400,650,1750,0,0,0,0,1,0,0,3,4,22,1,1.2,46.0,18.0,115,71,120.0,40.0,40.0,120,12.0
Peek'n Peak,New York,New York,1800,400,1400,0,0,0,0,0,8,0,2,10,27,4,2.4,110.0,110.0,110,55,225.0,49.0,63.0,120,110.0
Plattekill Mountain,New York,New York,3500,1100,2400,0,0,0,0,0,1,1,2,4,38,1,2.0,110.0,75.0,65,26,175.0,50.0,67.0,65,0.0
Royal Mountain Ski Area,New York,New York,1800,550,1250,0,0,0,0,0,0,3,0,3,14,0,0.3,35.0,28.0,115,63,90.0,45.0,45.0,120,0.0
Snow Ridge,New York,New York,2000,650,1350,0,0,0,0,0,0,4,2,6,21,2,0.8,130.0,65.0,73,74,230.0,38.0,48.0,100,40.0
Song Mountain,New York,New York,1940,700,1240,0,0,0,0,0,1,1,3,5,24,0,0.4,93.0,70.0,90,55,125.0,59.0,59.0,122,70.0
Swain,New York,New York,1970,650,1320,0,0,0,0,3,0,1,1,5,35,3,1.0,130.0,90.0,102,72,120.0,49.0,59.0,100,80.0
Thunder Ridge,New York,New York,1270,500,770,0,0,0,0,0,1,2,3,6,30,0,0.4,100.0,100.0,121,60,185.31645569620252,57.91695652173913,57.0,121,100.0
Titus Mountain,New York,New York,2025,1200,825,0,0,0,0,0,2,6,2,10,50,3,2.0,200.0,150.0,101,59,150.0,39.0,49.0,100,70.0
Toggenburg Mountain,New York,New York,2000,700,1300,0,0,0,0,0,1,1,3,5,22,2,0.4,85.0,0.0,115,66,130.0,55.0,55.0,122,73.0
West Mountain,New York,New York,1470,1010,460,0,0,0,0,0,1,2,2,5,29,1,0.6,124.0,105.0,115,58,80.0,49.0,59.0,120,105.0
Whiteface Mountain Resort,New York,New York,4650,3430,1220,1,0,0,1,1,2,5,2,12,86,5,2.1,288.0,220.0,122,61,168.0,96.0,96.0,141,0.0
Willard Mountain,New York,New York,1415,505,910,0,0,0,0,0,0,2,3,5,16,0,0.4,50.0,35.0,85,19,80.0,46.0,46.0,120,35.0
Windham Mountain,New York,New York,3100,1600,1500,0,0,1,2,0,3,1,5,12,54,6,2.0,285.0,280.0,123,59,105.0,85.0,95.0,130,56.0
Woods Valley Ski Area,New York,New York,1400,500,900,0,0,0,0,0,0,2,4,6,21,0,0.3,25.0,16.0,115,55,180.0,31.0,39.0,120,15.0
Appalachian Ski Mountain,North Carolina,North Carolina,4000,365,3635,0,0,0,0,2,0,1,2,5,12,3,0.5,27.0,27.0,100,57,50.0,40.0,64.0,100,27.0
Cataloochee Ski Area,North Carolina,North Carolina,5400,740,4660,0,0,0,0,1,1,1,2,5,18,2,1.0,50.0,50.0,141,58,50.0,43.0,70.0,108,50.0
Sapphire Valley,North Carolina,North Carolina,3450,200,3200,0,0,0,0,1,0,0,2,3,48,1,1.0,8.0,8.0,53,55,24.0,40.0,43.0,60,8.0
Beech Mountain Resort,North Carolina,North Carolina,5506,830,4675,0,0,0,0,3,0,3,2,8,17,1,1.0,95.0,95.0,98,52,31.0,41.0,68.0,120,95.0
Sugar Mountain Resort,North Carolina,North Carolina,5300,1200,4100,0,0,1,0,0,1,4,2,8,21,1,1.5,125.0,125.0,114,50,77.0,45.0,75.0,120,95.0
Wolf Ridge Ski Resort,North Carolina,North Carolina,4700,720,4000,0,0,0,0,1,0,1,2,4,15,1,0.6,65.0,65.0,115,49,65.0,42.0,65.0,100,60.0
Alpine Valley,Ohio,Ohio,1500,230,1260,0,0,0,0,1,2,1,1,5,11,1,0.2,72.0,72.0,105,53,120.0,43.0,43.0,120,72.0
Boston Mills,Ohio,Ohio,871,264,631,0,0,0,0,0,4,2,2,8,7,2,0.3,40.0,40.0,92,56,51.0,44.0,44.0,110,40.0
Brandywine,Ohio,Ohio,871,240,631,0,0,0,0,2,7,2,5,16,11,2,0.3,85.0,85.0,92,56,51.0,44.0,44.0,110,85.0
Mad River Mountain,Ohio,Ohio,1460,300,1160,0,0,0,0,1,2,3,6,12,20,4,0.5,144.0,144.0,99,57,36.0,39.0,44.0,90,144.0
Snow Trails,Ohio,Ohio,1475,301,1174,0,0,0,0,0,4,2,3,9,17,3,0.2,80.0,80.0,101,58,50.0,41.0,52.0,70,80.0
Anthony Lakes Mountain Resort,Oregon,Oregon,8000,900,7100,0,0,0,0,0,1,0,2,3,21,2,1.5,1100.0,0.0,75,56,300.0,40.0,40.0,80,0.0
Cooper Spur,Mt. Hood,Oregon,4000,350,3500,0,0,0,0,0,0,1,1,2,10,0,0.1,50.0,0.0,78,66,100.0,39.0,39.0,90,0.0
Hoodoo Ski Area,Oregon,Oregon,5703,1035,4668,0,0,0,0,3,1,1,0,5,34,0,0.4,806.0,0.0,80,81,350.0,59.0,59.0,108,200.0
Mt. Ashland,Oregon,Oregon,7533,1150,6383,0,0,0,0,0,2,2,1,5,23,2,1.0,220.0,0.0,94,55,300.0,45.0,52.0,92,40.0
Mt. Bachelor,Oregon,Oregon,9065,3365,5700,0,0,0,8,0,3,0,0,11,101,5,4.0,4318.0,20.0,185,61,462.0,99.0,99.0,185,0.0
Mt. Hood Meadows,Mt. Hood,Oregon,7300,2777,4523,0,0,0,6,0,0,5,2,13,85,6,3.0,2150.0,0.0,118,51,430.0,57.91695652173913,64.1668100358423,160,170.0
Mt. Hood Skibowl,Mt. Hood,Oregon,5100,1500,3600,0,0,0,0,0,0,4,5,9,65,2,3.0,960.0,29.0,125,82,300.0,70.0,70.0,144,317.0
Spout Springs,Oregon,Oregon,5500,610,4850,0,0,0,0,0,0,2,2,4,14,0,0.1,200.0,0.0,117,19,118.0,57.91695652173913,64.1668100358423,125,100.0
Timberline Lodge,Mt. Hood,Oregon,8540,3690,6000,0,0,0,5,0,1,1,1,8,41,5,2.0,1415.0,0.0,305,82,550.0,57.91695652173913,64.1668100358423,305,300.0
Willamette Pass,Oregon,Oregon,6683,1563,5120,0,0,1,0,0,3,0,1,5,29,0,2.1,555.0,60.0,3,78,430.0,60.0,60.0,100,0.0
Bear Creek Mountain Resort,Pennsylvania,Pennsylvania,1100,510,600,0,0,0,0,3,1,0,2,6,23,3,1.0,86.0,86.0,91,52,30.0,50.0,60.0,90,86.0
Ski Big Bear,Pennsylvania,Pennsylvania,1250,650,600,0,0,0,0,0,0,4,2,6,18,1,1.5,26.0,26.0,75,43,69.0,50.0,62.0,75,26.0
Big Boulder,Pennsylvania,Pennsylvania,2175,600,1700,0,0,0,0,0,2,5,1,8,16,8,1.433230769230769,55.0,55.0,76,72,50.0,50.0,65.0,95,55.0
Blue Knob,Pennsylvania,Pennsylvania,3146,1072,2074,0,0,0,0,0,2,2,2,6,34,1,2.0,100.0,84.0,87,56,120.0,43.0,68.0,105,42.0
Blue Mountain Resort,Pennsylvania,Pennsylvania,1600,1082,460,0,0,1,1,1,1,3,9,16,39,5,1.2,164.0,164.0,122,42,33.0,55.0,65.0,112,164.0
Camelback Mountain Resort,Pennsylvania,Pennsylvania,2100,800,1250,0,0,0,2,0,3,5,6,16,37,5,1.0,166.0,166.0,100,56,50.0,55.0,70.0,100,160.0
Eagle Rock,Pennsylvania,Pennsylvania,1810,550,1260,0,0,0,0,0,0,3,0,3,14,1,1.0,739.8012232415903,0.0,115,47,185.31645569620252,57.91695652173913,64.1668100358423,40,0.0
Elk Mountain Ski Resort,Pennsylvania,Pennsylvania,2693,1000,1693,0,0,0,0,1,0,5,1,7,27,2,0.7,180.0,146.0,115,60,60.0,55.0,69.0,100,90.0
Jack Frost,Pennsylvania,Pennsylvania,2000,600,1400,0,0,0,0,1,2,5,1,9,20,1,1.0,100.0,100.0,96,47,50.0,50.0,65.0,105,0.0
Liberty,Pennsylvania,Pennsylvania,1190,620,570,0,0,0,0,5,0,0,3,8,16,3,1.0,100.0,100.0,107,54,31.0,67.0,77.0,97,100.0
Mount Pleasant of Edinboro,Pennsylvania,Pennsylvania,1540,340,1200,0,0,0,0,0,1,0,1,2,10,0,0.5,40.0,35.0,75,48,100.0,30.0,33.0,90,35.0
Roundtop Mountain Resort,Pennsylvania,Pennsylvania,1400,600,800,0,0,0,0,3,2,0,3,8,20,2,0.4,103.0,103.0,115,55,30.0,63.0,73.0,120,100.0
Seven Springs,Pennsylvania,Pennsylvania,2994,750,2240,0,0,2,0,3,5,0,4,14,33,7,1.2,285.0,285.0,99,87,135.0,67.0,87.0,115,200.0
Shawnee Mountain Ski Area,Pennsylvania,Pennsylvania,1350,700,650,0,0,0,1,1,0,4,4,10,23,2,1.6,125.0,125.0,100,44,50.0,55.0,65.0,122,120.0
Ski Sawmill,Pennsylvania,Pennsylvania,2215,515,1700,0,0,0,0,0,1,1,3,5,14,1,0.1,15.0,13.0,115,50,24.0,30.0,44.0,90,15.0
Montage Mountain,Pennsylvania,Pennsylvania,1960,1000,960,0,0,0,0,1,3,1,2,7,26,1,1.2,140.0,140.0,60,35,47.0,67.0,64.1668100358423,90,140.0
Spring Mountain Ski Area,Pennsylvania,Pennsylvania,528,450,78,0,0,0,0,0,1,3,2,6,9,1,0.2,45.0,45.0,100,56,20.0,57.91695652173913,64.1668100358423,100,45.0
Tussey Mountain,Pennsylvania,Pennsylvania,1750,520,1230,0,0,0,0,1,0,1,3,5,8,1,0.3,38.0,30.0,100,39,41.0,40.0,45.0,100,30.0
Whitetail Resort,Pennsylvania,Pennsylvania,1800,935,865,0,0,0,1,3,0,2,2,8,23,2,1.0,120.0,120.0,116,28,40.0,69.0,71.0,100,120.0
Yawgoo Valley,Rhode Island,Rhode Island,315,245,70,0,0,0,0,0,0,2,2,4,13,1,0.2,30.0,30.0,100,54,40.0,57.91695652173913,64.1668100358423,100,30.0
Deer Mountain Ski Resort,South Dakota,South Dakota,6850,940,6040,0,0,0,0,0,1,1,2,4,63,2,1.6,500.0,50.0,69,51,200.0,45.0,45.0,81,0.0
Terry Peak Ski Area,South Dakota,South Dakota,7100,1100,5900,0,0,0,3,0,1,0,1,5,30,1,1.2,450.0,225.0,114,65,150.0,58.0,58.0,120,0.0
Ober Gatlinburg Ski Resort,Tennessee,Tennessee,3300,600,2700,0,0,0,0,2,0,1,1,4,10,1,1.0,739.8012232415903,0.0,83,44,35.0,36.0,65.0,94,0.0
Alta Ski Area,Salt Lake City,Utah,11068,2538,8530,0,0,0,3,0,1,2,0,6,116,0,1.3,2614.0,140.0,150,81,545.0,116.0,116.0,140,0.0
Beaver Mountain,Utah,Utah,8600,1600,7232,0,0,0,0,0,1,3,1,5,48,2,0.8,464.0,0.0,120,81,400.0,50.0,50.0,120,0.0
Brian Head Resort,Utah,Utah,10970,1548,9600,0,0,0,1,0,6,1,0,8,71,2,0.6,650.0,216.0,149,54,360.0,42.0,59.0,148,0.0
Brighton Resort,Salt Lake City,Utah,10500,1745,8755,0,0,0,3,1,1,0,2,7,66,4,1.2,1050.0,200.0,138,83,500.0,85.0,85.0,138,200.0
Deer Valley Resort,Salt Lake City,Utah,9570,3000,6570,1,0,0,13,0,5,2,0,21,103,0,2.8,2026.0,660.0,115,39,300.0,169.0,169.0,120,0.0
Eagle Point,Utah,Utah,10600,1500,9100,0,0,0,0,1,1,2,1,5,40,1,0.9,650.0,0.0,115,9,400.0,45.0,60.0,109,0.0
Park City,Salt Lake City,Utah,10000,3200,6800,4,0,6,10,4,7,4,6,41,341,8,3.5,7300.0,750.0,142,56,355.0,57.91695652173913,64.1668100358423,143,0.0
Powder Mountain,Utah,Utah,9422,2522,6900,0,0,0,1,4,1,0,3,9,167,2,3.5,8464.0,0.0,120,47,500.0,88.0,88.0,146,300.0
Snowbasin,Utah,Utah,9350,2900,6450,3,0,1,2,0,3,0,2,11,107,4,3.5,3000.0,625.0,143,79,300.0,115.0,115.0,138,0.0
Snowbird,Salt Lake City,Utah,11000,3240,7760,1,0,0,6,0,0,4,3,14,170,1,2.5,2500.0,0.0,188,48,500.0,125.0,125.0,180,2.0
Solitude Mountain Resort,Salt Lake City,Utah,10488,2494,7994,0,0,0,4,2,1,1,1,9,80,0,3.0,1200.0,150.0,161,62,500.0,109.0,119.0,148,0.0
Sundance,Utah,Utah,8250,2150,6100,0,0,0,0,2,2,0,1,5,45,1,0.6,450.0,112.0,128,50,320.0,80.0,80.0,129,0.0
Nordic Valley Resort,Utah,Utah,6400,960,5440,0,0,0,0,0,0,2,2,4,23,1,0.4,140.0,84.0,105,51,300.0,45.0,50.0,105,140.0
Bolton Valley,Vermont,Vermont,3150,1704,1446,0,0,0,0,2,0,3,1,6,71,3,0.6,300.0,90.0,133,53,300.0,69.0,79.0,132,50.0
Bromley Mountain,Vermont,Vermont,3284,1334,1950,0,0,0,1,1,0,4,3,9,47,1,2.5,178.0,153.0,115,83,168.0,87.0,91.0,152,0.0
Burke Mountain,Vermont,Vermont,3267,2011,1210,0,0,0,2,1,0,0,3,6,50,3,2.2,178.0,125.0,110,62,217.0,73.0,73.0,125,0.0
Jay Peak,Vermont,Vermont,3968,2153,1815,1,0,0,1,3,1,1,2,9,79,2,3.0,385.0,300.0,155,64,349.0,89.0,89.0,160,0.0
Killington Resort,Vermont,Vermont,4241,3050,1165,3,0,1,5,4,3,1,5,22,155,6,6.0,1515.0,600.0,192,61,250.0,119.0,119.0,120,0.0
Mad River Glen,Vermont,Vermont,3637,2037,1600,0,0,0,0,0,2,2,1,5,52,0,1.0,115.0,16.0,134,71,228.0,57.91695652173913,64.1668100358423,135,0.0
Magic Mountain,Vermont,Vermont,2850,1500,1350,0,0,0,0,0,0,3,3,6,50,1,1.6,205.0,95.0,76,59,150.0,74.0,74.0,80,0.0
Mount Snow,Vermont,Vermont,3600,1700,1900,0,0,1,3,1,6,4,5,20,86,10,3.0,600.0,480.0,135,65,156.0,57.91695652173913,64.1668100358423,135,0.0
Okemo Mountain Resort,Vermont,Vermont,3344,2200,1144,0,0,1,4,5,3,0,7,20,121,9,4.0,667.0,654.0,146,63,200.0,57.91695652173913,64.1668100358423,152,0.0
Pico Mountain ,Vermont,Vermont,3967,1967,2000,0,0,0,2,0,2,2,1,7,59,1,4.0,260.0,156.0,115,82,250.0,81.0,81.0,120,0.0
Smugglers' Notch Resort,Vermont,Vermont,3640,2610,1030,0,0,0,0,0,0,6,2,8,78,6,3.0,1000.0,192.0,136,63,280.0,79.0,79.0,135,0.0
Stowe Mountain Resort,Vermont,Vermont,4395,2360,2035,2,0,0,0,4,2,2,2,12,116,0,3.7,485.0,388.0,155,86,314.0,57.91695652173913,64.1668100358423,137,0.0
Stratton Mountain,Vermont,Vermont,3875,2003,1872,1,0,4,1,2,1,1,1,11,99,4,3.0,670.0,474.0,155,58,180.0,57.91695652173913,64.1668100358423,160,0.0
Sugarbush,Vermont,Vermont,4083,2600,1483,0,0,0,5,5,2,1,3,16,111,4,3.0,581.0,406.0,150,61,250.0,119.0,119.0,156,0.0
Suicide Six,Vermont,Vermont,1200,650,550,0,0,0,0,0,0,2,1,3,24,0,0.4,100.0,50.0,100,85,90.0,45.0,75.0,106,0.0
Bryce Resort,Virginia,Virginia,1750,500,1250,0,0,0,0,1,0,1,5,7,8,0,0.4,25.0,25.0,100,54,30.0,43.0,68.0,95,20.0
Massanutten,Virginia,Virginia,2925,1110,1750,0,0,0,0,3,1,0,3,7,13,2,0.8,70.0,70.0,68,46,35.0,57.91695652173913,64.1668100358423,97,70.0
The Homestead Ski Area,Virginia,Virginia,3200,700,2500,0,0,0,0,0,0,1,1,2,10,0,1.0,45.0,100.0,91,60,50.0,57.91695652173913,64.1668100358423,100,0.0
Wintergreen Resort,Virginia,Virginia,3515,1003,2512,0,0,2,0,1,1,1,0,5,27,2,1.0,129.0,129.0,107,44,34.0,59.0,64.1668100358423,121,45.0
49 Degrees North,Washington,Washington,5774,1851,3932,0,0,0,0,1,0,5,1,7,89,1,2.0,2325.0,0.0,101,48,301.0,62.0,62.0,135,250.0
Alpental,Washington,Washington,5420,2280,3140,0,0,0,1,0,0,3,1,5,24,0,1.2,825.0,0.0,120,52,428.0,57.91695652173913,64.1668100358423,144,121.0
Bluewood,Washington,Washington,5670,1125,4545,0,0,0,0,0,2,0,1,3,24,2,2.0,355.0,0.0,70,40,300.0,42.0,47.0,110,0.0
Crystal Mountain,Washington,Washington,7012,3100,4400,1,0,2,2,1,2,2,0,10,57,1,2.5,2600.0,10.0,115,57,486.0,99.0,99.0,120,0.0
Mission Ridge,Washington,Washington,6820,2250,4570,0,0,0,1,0,0,3,2,6,48,3,0.8,2000.0,66.0,104,53,200.0,57.91695652173913,64.1668100358423,96,500.0
Mt. Baker,Washington,Washington,5000,1500,3500,0,0,0,0,8,0,0,2,10,38,0,0.7,1000.0,0.0,143,66,663.0,53.75,60.01,165,0.0
Mt. Spokane Ski and Snowboard Park,Washington,Washington,5889,2000,4200,0,0,0,0,0,1,5,1,7,52,3,0.6,1704.0,0.0,100,81,300.0,45.0,59.0,103,45.0
Stevens Pass Resort,Washington,Washington,5845,1800,4061,0,0,0,3,0,4,3,0,10,52,4,1.0,1125.0,0.0,116,82,460.0,57.91695652173913,64.1668100358423,145,450.0
The Summit at Snoqualmie,Washington,Washington,3865,1025,2840,0,0,0,3,3,4,10,7,27,112,5,0.8,1994.0,5.0,120,82,428.0,85.0,95.0,140,541.0
White Pass,Washington,Washington,6550,2050,4500,0,0,0,2,1,1,2,2,8,45,2,2.5,1402.0,30.0,148,67,400.0,69.0,69.0,144,90.0
Canaan Valley Resort,West Virginia,West Virginia,4280,850,3430,0,0,0,0,1,2,0,1,4,47,1,1.2,95.0,75.0,115,48,160.0,52.0,68.0,93,0.0
Snowshoe Mountain Resort,West Virginia,West Virginia,4848,1500,3348,0,0,0,3,2,6,0,3,14,60,5,1.5,257.0,257.0,125,46,180.0,70.0,87.0,138,86.0
Timberline Four Seasons,West Virginia,West Virginia,4265,1000,3268,0,0,0,0,0,2,1,1,4,40,1,2.0,100.0,100.0,97,37,150.0,72.0,92.0,115,27.0
Winterplace Ski Resort,West Virginia,West Virginia,3600,603,2997,0,0,0,0,2,3,2,2,9,27,2,1.2,90.0,90.0,120,36,100.0,56.0,72.0,120,74.0
Alpine Valley Resort,Wisconsin,Wisconsin,1040,388,820,0,0,0,3,0,3,1,5,12,21,3,0.2,90.0,90.0,100,55,80.0,56.0,65.0,120,90.0
Bruce Mound,Wisconsin,Wisconsin,1375,375,1000,0,0,0,0,0,1,0,4,5,12,2,0.5,40.0,30.0,42,71,42.0,33.0,25.0,42,30.0
Cascade Mountain,Wisconsin,Wisconsin,1280,460,820,0,0,0,2,2,3,2,3,12,47,4,1.1,175.0,175.0,120,57,56.0,59.0,64.0,120,0.0
Christie Mountain,Wisconsin,Wisconsin,1650,350,1300,0,0,0,0,0,0,1,5,6,30,4,0.8,45.0,41.0,92,43,48.0,28.0,38.0,120,35.0
Christmas Mountain,Wisconsin,Wisconsin,1250,250,1000,0,0,0,0,1,0,0,2,3,16,0,0.4,40.0,40.0,75,50,20.0,57.91695652173913,64.1668100358423,70,40.0
Devils Head,Wisconsin,Wisconsin,995,500,495,0,0,0,0,3,1,6,2,12,27,1,1.0,260.0,260.0,110,48,45.0,45.0,65.0,135,200.0
Grand Geneva,Wisconsin,Wisconsin,1086,211,875,0,0,0,0,0,0,3,3,6,20,1,0.2,30.0,30.0,90,25,25.0,28.0,49.0,93,30.0
Granite Peak Ski Area,Wisconsin,Wisconsin,1942,700,1242,0,0,1,2,0,2,0,2,7,75,4,0.6,220.0,160.0,136,82,75.0,92.0,92.0,135,200.0
Little Switzerland,Wisconsin,Wisconsin,1269,200,1069,0,0,0,0,0,0,4,4,8,18,3,1.0,50.0,50.0,115,63,185.31645569620252,33.0,41.0,120,50.0
Mount La Crosse,Wisconsin,Wisconsin,1110,516,594,0,0,0,0,0,0,3,1,4,19,1,0.4,100.0,100.0,115,60,40.0,56.0,56.0,100,90.0
Nordic Mountain,Wisconsin,Wisconsin,1137,265,872,0,0,0,0,0,1,1,5,7,18,4,1.0,60.0,60.0,68,43,80.0,57.91695652173913,47.0,90,60.0
